data_name,Variable ID A,Variable ID B,Relationship,Source organisation,Justification - quantifiable,Relationship Strength,Weblink
Apr_2023,n_165,n_164,Same,BEIS,"Energy bills interact with household income, and home energy efficiency, so the relationship is not direct.",High,https://www.gov.uk/government/collections/fuel-poverty-statistics
Apr_2023,n_165,n_214,Same,,"This is related to long term price elasticity of demand, but variable B isn't well defined.",Medium,
Apr_2023,n_167,n_176,Same,BEIS/Eunomia,Variable A isn't quantifiable so hard to quantify this relationship,Medium,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf
Apr_2023,n_168,n_183,Opposite,,Neither variable is quantifiable so hard to quantify this relationship,Medium,
Apr_2023,n_169,n_170,Same,,,Medium,
Apr_2023,n_170,n_182,Opposite,,"Costs are only a part of the decision making process, with hassle, awareness, and ""green attitudes"" being other factors at play (see section 2.3.3 of the alternative source).",Medium,http://randd.defra.gov.uk/Document.aspx?Document=10029_PriceElasticityFinalreport.pdf
Apr_2023,n_171,n_170,Same,,,High,
Apr_2023,n_171,n_165,Same,,,High,
Apr_2023,n_186,n_187,Opposite,BEIS,Relative carbon intensity per unit energy of biomethane vs current generation sources. Depends on the source of biomethane,Low,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1036982/ghg-savings-methodology.pdf
Apr_2023,n_173,n_178,Same,,,High,
Apr_2023,n_174,n_167,Same,,Variable B isn't well-defined so hard to quantify this relationship,High,
Apr_2023,n_174,n_177,Same,,This depends on the balance of imports & exports.,High,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf
Apr_2023,n_174,n_245,Opposite,,"The relationship here would be the proportion of heat pumps which are replacing gas boilers, as opposed to being installed in a new property.",Medium,
Apr_2023,n_174,n_181,Same,,"This is logically close to 1, barring replacement heat pumps. It will fall over time as more and more are replacements vs first installations.",High,
Apr_2023,n_174,n_172,Same,,,Medium,
Apr_2023,n_175,n_191,Opposite,,The relationship is proportion of grid demand from heat pumps x (COP before:COP after).,Low,
Apr_2023,n_175,n_179,Opposite,,"In conjunction with electricity price, efficiency is the other main driver of running costs.",High,
Apr_2023,n_175,n_183,Same,,Variable B isn't quantifiable so hard to quantify this relationship,Medium,
Apr_2023,n_176,n_168,Opposite,,Variable B isn't quantifiable so hard to quantify this relationship,Low,
Apr_2023,n_176,n_173,Opposite,,,Low,
Apr_2023,n_176,n_179,Opposite,,,Low,
Apr_2023,n_176,n_185,Same,,Variable B isn't quantifiable so hard to quantify this relationship,Low,
Apr_2023,n_177,n_173,Opposite,CRAVEzero/EU,Learning rate captures the reduction in cost per doubling of installed capacity. See table 2,Medium,https://www.cravezero.eu/wp-content/uploads/2018/09/CRAVEzero_D41_nZEB-Technologies.pdf
Apr_2023,n_177,n_180,Same,,,Medium,
Apr_2023,n_178,n_174,Opposite,,"Costs are only a part of the decision making process, with hassle, awareness, and ""green attitudes"" being other factors at play (see section 2.3.3 of the alternative source).",Medium,http://randd.defra.gov.uk/Document.aspx?Document=10029_PriceElasticityFinalreport.pdf
Apr_2023,n_178,n_236,Opposite,,,Medium,
Apr_2023,n_179,n_178,Same,,,Medium,
Apr_2023,n_179,n_165,Same,,,High,
Apr_2023,n_180,n_168,Opposite,,Variable B isn't quantifiable so hard to quantify this relationship,Low,
Apr_2023,n_180,n_173,Opposite,International Economic Review,"Unable to find any research into this, but in principle it could be modelled or calculated based on econometrics.",Medium,
Apr_2023,n_181,n_167,Same,,Variable B isn't quantifiable so hard to quantify this relationship,Medium,
Apr_2023,n_181,n_188,Same,CEPA/Ofgem,Modelled to some extent in the DNM,Medium,
Apr_2023,n_181,n_191,Same,,Increases by useful heat demand / CoP * change in number homes with heat pumps - useful heat demand x change in number of homes with electricity heating. Modelled to some degree in the NHM,Medium,https://data.gov.uk/dataset/957eadbe-43b6-4d8d-b931-8594cb346ecd/national-household-model
Apr_2023,n_181,n_183,Same,,"Hard to quantify variable B, so can't quantify the relationship. However, there is clearly a quantification of some kind in Frontier Economics' agent-based model of the heat market, since they model a ""multiplier effect"" of interaction between occupant agents.",Low,https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf
Apr_2023,n_182,n_191,Same,,"Sensible proxy as an average would be the gas demand per dwelling x typical gas boiler efficiency, but depends on property type etc. Sources would be National Household Model and/or NEED.",Medium,https://www.gov.uk/government/statistics/national-energy-efficiency-data-framework-need-consumption-data-tables-2021
Apr_2023,n_183,n_174,Same,,"Hard to quantify variable A, however it is included as a parameter in Frontier Economics' agent based modelling",Medium,https://nic.org.uk/app/uploads/frontier-nic-agent-based-heat-model-stc-100521-v10.pdf
Apr_2023,n_184,n_174,Same,,"This is a necessary condition for heat pump installation, but the actual driver for installation would be more related to other factors.",Low,
Apr_2023,n_185,n_175,Same,UCL Energy Institute,Variable A isn't quantifiable so hard to quantify this relationship,Medium,
Apr_2023,n_187,n_193,Same,,"This relationship is parametrised by the ""electricity grid demand"" variable (Carbon intensity factor x electricity demand = emissions from electricity)",High,
Apr_2023,n_188,n_200,Opposite,,"These are in the same units, but coincidence factor would also need to be accounted for. What proportion of the DSR is available at the same time as peak demand?",Medium,
Apr_2023,n_189,n_188,Same,BEIS,"Variable A is not quantifiable, so it is hard to quantify the relationship.",Medium,https://www.ofgem.gov.uk/sites/default/files/2021-06/%284%29%20CEPA-TNEI%20Modelling%20Methodology%20-%20Access%20SCR%20%281%29.pdf
Apr_2023,n_190,n_191,Same,,,High,
Apr_2023,n_191,n_193,Same,,"This relationship is parametrised by the ""carbon intensity of electricity grid"" variable (Carbon intensity factor x electricity demand = emissions from electricity)",High,
Apr_2023,n_191,n_200,Same,,"This depends entirely on the shape of the demand. It is considered in the DNM. In the specific context of additional heat pumps, this was studied by Love et al in the paper listed as alternative source 1, where they find a14% increase in evening peak electricity demand in a scenario where 20% of homes have a heat pump installed.",Medium,
Apr_2023,n_192,n_171,Same,,"There are also maintenance costs, so electricity price isn't the only driver. It is likely to be by far the dominant driver though.",High,
Apr_2023,n_192,n_179,Same,,"There are also maintenance costs, so electricity price isn't the only driver. It is likely to be by far the dominant driver though.",High,
Apr_2023,n_193,n_163,Opposite,Air Quality Expert Group/Defra,"Depends on the source of generation. With current grid mix, air quality would get worse. With future net zero sources (e.g. wind, solar) it may get better. But biomass may make it worse.",Medium,https://uk-air.defra.gov.uk/assets/documents/reports/cat09/2006240802_Impacts_of_Net_Zero_pathways_on_future_air_quality_in_the_UK.pdf
Apr_2023,n_193,n_166,Same,,,High,
Apr_2023,n_194,n_200,Opposite,,"Assuming both storage and peak electricity demand are expressed in terms of power, one MW of storage should reduce peak demand by one MW.",Medium,
Apr_2023,n_195,n_188,Same,,"If both variables are measured in MW, this is a 1:1 relationship",Medium,https://www.theade.co.uk/assets/docs/resources/Lets_Talk_About_Flex_DigitalRep_FINAL-min.pdf
Apr_2023,n_195,n_196,Same,,"There doesn't appear to be any causal link here, and little correlation",Low,
Apr_2023,n_196,n_191,Opposite,,,Low,
Apr_2023,n_197,n_187,Same,,,Low,
Apr_2023,n_198,n_192,Same,BEIS,"This is modelled in the NDM, but is unlikely to be capturable as a single value. Ofgem/CEPA also have a distribution network model linked to in the alternative sources.",Low,
Apr_2023,n_199,n_187,Opposite,,"Depends on many factors, including if biomass is used, and what other generation is being displaced.",High,https://www.gov.uk/government/statistics/the-dynamic-dispatch-model-a-fully-integrated-power-market-model
Apr_2023,n_200,n_192,Same,,,Medium,https://www.gov.uk/government/statistics/the-dynamic-dispatch-model-a-fully-integrated-power-market-model
Apr_2023,n_200,n_197,Same,BEIS,"This will depend on size, timing, and availability of other peaking technologies like grid-scale storage",Medium,https://www.gov.uk/government/statistics/the-dynamic-dispatch-model-a-fully-integrated-power-market-model
Apr_2023,n_200,n_198,Same,BEIS,"This is modelled in the NDM, but is unlikely to be capturable as a single value. Ofgem/CEPA also have a distribution network model linked to in the alternative sources.",Medium,
Apr_2023,n_202,n_191,Same,,Proportion of residential demand which is electricity,High,https://www.gov.uk/government/statistics/national-energy-efficiency-data-framework-need-consumption-data-tables-2021
Apr_2023,n_202,n_234,Same,,Proportion of average energy demand that is from gas (calculated from NEED Tables 13 & 14),High,https://www.gov.uk/government/statistics/national-energy-efficiency-data-framework-need-consumption-data-tables-2021
Apr_2023,n_202,n_165,Same,,"Strictly, this would apply to average building heating energy demand",High,
Apr_2023,n_203,n_202,Same,,,High,
Apr_2023,n_204,n_203,Same,,"This is a relatively simple relationship, but can't be captured by a single parameter. It can be modelled by thermal models like SAP or SBEM for individual buildings.",Medium,
