"","data_name","Variable.ID.A","Variable.ID.B","Relationship","Source.organisation","Justification...quantifiable","Relationship.Strength","Weblink","data_version"
"1","System Map Data: Jan_2023","n_165","n_214","Same","","This is related to long term price elasticity of demand, but variable B isn't well defined.","Medium","",2
"2","System Map Data: Jan_2023","n_168","n_183","Opposite","","Neither variable is quantifiable so hard to quantify this relationship","Medium","",2
"3","System Map Data: Jan_2023","n_169","n_170","Same","","","Medium","",2
"4","System Map Data: Jan_2023","n_171","n_170","Same","","","High","",2
"5","System Map Data: Jan_2023","n_171","n_165","Same","","","High","",2
"6","System Map Data: Jan_2023","n_173","n_178","Same","","","High","",2
"7","System Map Data: Jan_2023","n_174","n_167","Same","","Variable B isn't well-defined so hard to quantify this relationship","High","",2
"8","System Map Data: Jan_2023","n_267","n_268","Same","","","Medium","",2
"9","System Map Data: Jan_2023","n_268","n_269","Same","","","Medium","",2
"10","System Map Data: Jan_2023","n_268","n_270","Opposite","","","Medium","",2
"11","System Map Data: Jan_2023","n_268","n_272","Opposite","","","Medium","",2
"12","System Map Data: Jan_2023","n_268","n_414","Same","","","Medium","",2
"13","System Map Data: Jan_2023","n_268","n_431","Opposite","","","Medium","",2
"14","System Map Data: Jan_2023","n_165","n_164","Same","BEIS","Energy bills interact with household income, and home energy efficiency, so the relationship is not direct.","High","https://www.gov.uk/government/collections/fuel-poverty-statistics",2
"15","System Map Data: Jan_2023","n_167","n_176","Same","BEIS/Eunomia","Variable A isn't quantifiable so hard to quantify this relationship","Medium","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf",2
"16","System Map Data: Jan_2023","n_170","n_182","Opposite","","Costs are only a part of the decision making process, with hassle, awareness, and ""green attitudes"" being other factors at play (see section 2.3.3 of the alternative source).","Medium","http://randd.defra.gov.uk/Document.aspx?Document=10029_PriceElasticityFinalreport.pdf",2
"17","System Map Data: Jan_2023","n_186","n_187","Opposite","BEIS","Relative carbon intensity per unit energy of biomethane vs current generation sources. Depends on the source of biomethane","Low","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1036982/ghg-savings-methodology.pdf",2
"18","System Map Data: Jan_2023","n_174","n_177","Same","","This depends on the balance of imports & exports.","High","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943712/heat-pump-manufacturing-supply-chain-research-project-report.pdf",2
"19","System Map Data: Jan_2023","n_174","n_245","Opposite","","The relationship here would be the proportion of heat pumps which are replacing gas boilers, as opposed to being installed in a new property.","Medium","",2
"20","System Map Data: Jan_2023","n_174","n_181","Same","","This is logically close to 1, barring replacement heat pumps. It will fall over time as more and more are replacements vs first installations.","High","",2
"21","System Map Data: Jan_2023","n_174","n_172","Same","","","Medium","",2
"22","System Map Data: Jan_2023","n_175","n_191","Opposite","","The relationship is proportion of grid demand from heat pumps x (COP before:COP after).","Low","",2
"23","System Map Data: Jan_2023","n_175","n_179","Opposite","","In conjunction with electricity price, efficiency is the other main driver of running costs.","High","",2
"24","System Map Data: Jan_2023","n_175","n_183","Same","","Variable B isn't quantifiable so hard to quantify this relationship","Medium","",2
"25","System Map Data: Jan_2023","n_176","n_168","Opposite","","Variable B isn't quantifiable so hard to quantify this relationship","Low","",2
"26","System Map Data: Jan_2023","n_176","n_173","Opposite","","","Low","",2
"27","System Map Data: Jan_2023","n_176","n_179","Opposite","","","Low","",2
"28","System Map Data: Jan_2023","n_176","n_185","Same","","Variable B isn't quantifiable so hard to quantify this relationship","Low","",2
"29","System Map Data: Jan_2023","n_177","n_173","Opposite","CRAVEzero/EU","Learning rate captures the reduction in cost per doubling of installed capacity. See table 2","Medium","https://www.cravezero.eu/wp-content/uploads/2018/09/CRAVEzero_D41_nZEB-Technologies.pdf",2
"30","System Map Data: Jan_2023","n_177","n_180","Same","","","Medium","",2
"31","System Map Data: Jan_2023","n_178","n_174","Opposite","","Costs are only a part of the decision making process, with hassle, awareness, and ""green attitudes"" being other factors at play (see section 2.3.3 of the alternative source).","Medium","http://randd.defra.gov.uk/Document.aspx?Document=10029_PriceElasticityFinalreport.pdf",2
"32","System Map Data: Jan_2023","n_178","n_236","Opposite","","","Medium","",2
"33","System Map Data: Jan_2023","n_179","n_178","Same","","","Medium","",2
"34","System Map Data: Jan_2023","n_179","n_165","Same","","","High","",2
"35","System Map Data: Jan_2023","n_180","n_168","Opposite","","Variable B isn't quantifiable so hard to quantify this relationship","Low","",2
"36","System Map Data: Jan_2023","n_180","n_173","Opposite","International Economic Review","Unable to find any research into this, but in principle it could be modelled or calculated based on econometrics.","Medium","",2
"37","System Map Data: Jan_2023","n_181","n_167","Same","","Variable B isn't quantifiable so hard to quantify this relationship","Medium","",2
"38","System Map Data: Jan_2023","n_181","n_188","Same","CEPA/Ofgem","Modelled to some extent in the DNM","Medium","",2
"39","System Map Data: Jan_2023","n_185","n_175","Same","UCL Energy Institute","Variable A isn't quantifiable so hard to quantify this relationship","Medium","",2
"40","System Map Data: Jan_2023","n_190","n_191","Same","","","High","",2
