data_name,System,Variable ID,Section on Systems Map,Variable Name,Description,Value,Unit,Source organisation,Weblink,Tags
Apr_2023,Land Use & Natural Resources,n_1,Net Emissions,Net Carbon Emissions,Total UK net carbon dioxide equivalent GHG emissions,405.5,Million tonnes CO2 equivalent ,"Department for Business, Energy & Industrial Strategy","2020 UK Greenhouse Gas Emissions, Final Figures (publishing.service.gov.uk)",
Apr_2023,Land Use & Natural Resources,n_2,Socio-Economics,Ability To Invest In Future Proofing,Farmers ability to invest in long term planning,,,,,
Apr_2023,Land Use & Natural Resources,n_3,Socio-Economics,Ageing Farmer Population,Age of current active farmers in the UK,,,,,"Green Jobs, Behaviour Change"
Apr_2023,Land Use & Natural Resources,n_4,Arable ,Agricultural Productivity/Yield,The yield that is produced by a given amount of farmland,135.71,unitless (index),"Department for Environment, Food & Rural Affairs",Total factor productivity for England by farm type - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_5,Arable ,Artificial Input Usage,The total amount of artificial inputs used on land including fertilisers and pesticides,1147,million £,"Department for Environment, Food & Rural Affairs",Agriculture in the United Kingdom data sets - GOV.UK (www.gov.uk),
Apr_2023,Land Use & Natural Resources,n_6,Arable ,Availability Of Crop Residues,The total availability of residues from crops that can be used in Anaerobic digestion,460,Thousand Tonnes,"Department for Environment, Food & Rural Affairs",Crops Grown for Bioenergy in the UK 2019 (publishing.service.gov.uk),
Apr_2023,Land Use & Natural Resources,n_7,Socio-Economics,Availability Of Incentives (Financial),The availability of financial incentives and payments to farmers,,,,,
Apr_2023,Land Use & Natural Resources,n_8,Socio-Economics,Average Size Of Farms,The average size of farms in the UK,,,,,
Apr_2023,Land Use & Natural Resources,n_9,Arable ,Breeding Resilient Crop Varieties,The extent to which crops are bred to me more resilient to adverse conditions and pests,,,,,
Apr_2023,Land Use & Natural Resources,n_10,Arable ,Pesticide Resistance,The extent to which pests develop resistance to pesticides,,,,,
Apr_2023,Land Use & Natural Resources,n_11,Arable ,Controlled Environment Production,"The amount of crop grown in controlled environments e.g. greenhouses, polytunnels",,,,,
Apr_2023,Land Use & Natural Resources,n_12,Arable ,Crop Import Transport Emissions,The total emissions caused by the import of crops from the country of origin,,,,,
Apr_2023,Land Use & Natural Resources,n_13,Arable ,Delivery Of On-Farm Carbon Saving Activities,The amount to which techniques are used be farmers to reduce energy usage and emissions,56,% of holdings currently taking action to reduce GHG emissions from the farm,"Department for Environment, Food & Rural Affairs",https://www.gov.uk/government/statistics/farm-practices-survey-february-2021-greenhouse-gas-mitigation-practices,
Apr_2023,Land Use & Natural Resources,n_14,Arable ,Emissions From Motive Power,The total emissions from on-farm motive power e.g. tractors,~5,Million tonnes CO2 equivalent ,Climate Change Committee,Sector-summary-Agriculture-land-use-land-use-change-forestry.pdf (theccc.org.uk),
Apr_2023,Land Use & Natural Resources,n_15,Arable ,Exported Crop Production Emissions,The total crop production emissions that occur outside of the UK due to imports,,,,,
Apr_2023,Land Use & Natural Resources,n_16,Arable ,Exported Crops,The total amount of UK produced crops exported,2267,Thousand Tonnes,,https://www.gov.uk/government/statistical-data-sets/agriculture-in-the-united-kingdom,
Apr_2023,Land Use & Natural Resources,n_17,Socio-Economics,Farm Business Viability (Financial),The extent to which farms are financially viable/successful,,,,,
Apr_2023,Land Use & Natural Resources,n_18,Socio-Economics,Farm Economies Of Scale,The economies of scale available to larger or more productive farms,,,,,
Apr_2023,Land Use & Natural Resources,n_19,Arable ,Resistance Management,The extent to which farmers manage against pesticide resistance,,,,,
Apr_2023,Land Use & Natural Resources,n_20,Socio-Economics,Farmers Adapting To Sustainable Models,The number of farmers adapting to more sustainable models,56,% of holdings currently taking action to reduce GHG emissions from the farm,"Department for Environment, Food & Rural Affairs",https://www.ons.gov.uk/economy/environmentalaccounts/datasets/lowcarbonandrenewableenergyeconomyfirstestimatesdataset,
Apr_2023,Land Use & Natural Resources,n_21,Socio-Economics,Farmers Exiting The Sector,The number of farmers that are exiting the sector,,,,,"Green Jobs, Behaviour Change"
Apr_2023,Land Use & Natural Resources,n_22,Arable ,Food Crop Demand,The total UK demand for crops for food,,,,,
Apr_2023,Land Use & Natural Resources,n_23,Arable ,Food Waste,The amount of food that is wasted,9.5,Million  Tonnes,"UK Parliament - House of Lords Library &
Waste and Resources Action Programme (WRAP)",Food waste in the UK - House of Lords Library (parliament.uk),
